NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2011-2012, Sorkin Type Co (www.sorkintype.com) with Reserved Font Name 'Kavoon'	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Kavoon	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.004;STC ;Kavoon-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Kavoon	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.004; ttfautohint (v1.4.1)	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Kavoon-Regular	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Kavoon is a trademark of Sorkin Type Co.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Viktoriya Grabowska	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Viktoriya Grabowska	(3, 1, 1033, 9)
Description	Windows	Unicode BMP	English (United States)	Kavoon is a display face based on experiments with brush and ink. Kavoon's expressive features make words vivid and powerfully draw the reader in. Kavoon may be used from medium to large sizes.	(3, 1, 1033, 10)
Vendor URL	Windows	Unicode BMP	English (United States)	www.sorkintype.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	www.vikaniesiada.blogspot.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
