NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2007-2008, The C&MA Guinea Fulbe Team;  Copyright renewed 2011-2012, George W. Nuss (http://www.fulbefouta.com), with the Reserved Font Name "Fouta".  Copyright (c) 2004-2020, SIL International (http://www.sil.org),  with Reserved Font Names 'Andika' and 'SIL'.  Copyright (c) 2014-2020, SIL International (http://www.sil.org/). with Reserved Font Names "Harmattan" and "SIL".	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Harmattan	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	SIL International: Harmattan Bold: 2020	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Harmattan Bold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.000	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Harmattan-Bold	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Harmattan is a trademark of SIL International. Fouta New Arabic and Fouta New AS are trademarks of the C&MA Guinea Fulbe Team	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	SIL International	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	George W. Nuss III and SIL International	(3, 1, 1033, 9)
Description	Windows	Unicode BMP	English (United States)	Arabic script font designed for use by languages in West Africa	(3, 1, 1033, 10)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.sil.org/	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.fulbefouta.com	(3, 1, 1033, 12)
