NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Typeface © (your company). 2011. All Rights Reserved	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Souliyo Unicode	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Souliyo Unicode:Version 1.00	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Souliyo Unicode	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.00 December 29, 2011, initial release	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	SouliyoUnicode	(1, 0, 0, 6)
Description	Macintosh	Roman	English	This font was created using FontCreator 6.5 from High-Logic.com	(1, 0, 0, 10)
Subfamily Name	Windows	Unicode BMP	Catalan (Catalan)	Normal	(3, 1, 1027, 2)
Subfamily Name	Windows	Unicode BMP	Czech (Czech Republic)	obyčejné	(3, 1, 1029, 2)
Subfamily Name	Windows	Unicode BMP	Danish (Denmark)	normal	(3, 1, 1030, 2)
Subfamily Name	Windows	Unicode BMP	German (Germany)	Standard	(3, 1, 1031, 2)
Subfamily Name	Windows	Unicode BMP	Greek (Greece)	Κανονικά	(3, 1, 1032, 2)
Copyright	Windows	Unicode BMP	English (United States)	Typeface © (your company). 2011. All Rights Reserved	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Souliyo Unicode	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Souliyo Unicode:Version 1.00	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Souliyo Unicode	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.00 December 29, 2011, initial release	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	SouliyoUnicode	(3, 1, 1033, 6)
Description	Windows	Unicode BMP	English (United States)	This font was created using FontCreator 6.5 from High-Logic.com	(3, 1, 1033, 10)
Subfamily Name	Windows	Unicode BMP	Spanish (Traditional Sort) (Spain)	Normal	(3, 1, 1034, 2)
Subfamily Name	Windows	Unicode BMP	Finnish (Finland)	Normaali	(3, 1, 1035, 2)
Subfamily Name	Windows	Unicode BMP	French (France)	Normal	(3, 1, 1036, 2)
Subfamily Name	Windows	Unicode BMP	Hungarian (Hungary)	Normál	(3, 1, 1038, 2)
Subfamily Name	Windows	Unicode BMP	Italian (Italy)	Normale	(3, 1, 1040, 2)
Subfamily Name	Windows	Unicode BMP	Dutch (Netherlands)	Standaard	(3, 1, 1043, 2)
Subfamily Name	Windows	Unicode BMP	Norwegian (Bokmal) (Norway)	Normal	(3, 1, 1044, 2)
Subfamily Name	Windows	Unicode BMP	Polish (Poland)	Normalny	(3, 1, 1045, 2)
Subfamily Name	Windows	Unicode BMP	Portuguese (Brazil)	Normal	(3, 1, 1046, 2)
Subfamily Name	Windows	Unicode BMP	Russian (Russia)	Обычный	(3, 1, 1049, 2)
Subfamily Name	Windows	Unicode BMP	Slovak (Slovakia)	Normálne	(3, 1, 1051, 2)
Subfamily Name	Windows	Unicode BMP	Swedish (Sweden)	Normal	(3, 1, 1053, 2)
Subfamily Name	Windows	Unicode BMP	Turkish (Turkey)	Normal	(3, 1, 1055, 2)
Subfamily Name	Windows	Unicode BMP	Slovenian (Slovenia)	Navadno	(3, 1, 1060, 2)
Subfamily Name	Windows	Unicode BMP	Basque (Basque)	Arrunta	(3, 1, 1069, 2)
Subfamily Name	Windows	Unicode BMP	Spanish (Mexico)	Normal	(3, 1, 2058, 2)
Subfamily Name	Windows	Unicode BMP	Portuguese (Portugal)	Normal	(3, 1, 2070, 2)
Subfamily Name	Windows	Unicode BMP	Spanish (Modern Sort) (Spain)	Normal	(3, 1, 3082, 2)
Subfamily Name	Windows	Unicode BMP	French (Canada)	Normal	(3, 1, 3084, 2)
